Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB,PlainCount,Algorithm,Config,ChcCount,Chc,Variant,VariantSize,FormulaType
vsat/VSolve/Empty/Chc/1/VariantSize/1/numPlain/1/RightGen,0.014942793752258482,0.014350277663537562,0.015937093614305117,0.0018491987544738617,0.0013285057876431402,0.0027706532060205644,1.0,VSolve,Empty,1,Chc,VariantSize,1,RightGen
vsat/VSolve/Empty/Chc/1/VariantSize/1/numPlain/10/RightGen,0.019847417119794937,0.018390865414212827,0.02186094912513973,0.003915753455817927,0.0025366250213724024,0.005139948163758364,10.0,VSolve,Empty,1,Chc,VariantSize,1,RightGen
vsat/VSolve/Empty/Chc/1/VariantSize/1/numPlain/100/RightGen,0.04233363576349843,0.041490180320217965,0.043095764547850746,0.001507770268442834,0.001190637709927664,0.0020785059552399206,100.0,VSolve,Empty,1,Chc,VariantSize,1,RightGen
vsat/VSolve/Empty/Chc/1/VariantSize/10/numPlain/1/RightGen,0.019812131051185004,0.019643580186853457,0.02001692042147058,0.00042553592371446006,0.0002741868176768511,0.0006693994740263349,1.0,VSolve,Empty,1,Chc,VariantSize,10,RightGen
vsat/VSolve/Empty/Chc/1/VariantSize/10/numPlain/10/RightGen,0.022806200903537358,0.022314912908989577,0.023530972990399187,0.0013983046068128024,0.0009855970403272773,0.001968277275809886,10.0,VSolve,Empty,1,Chc,VariantSize,10,RightGen
vsat/VSolve/Empty/Chc/1/VariantSize/10/numPlain/100/RightGen,0.04481700477779952,0.04317707153449625,0.04563665704617292,0.0023238882582895743,0.000957501222845503,0.004129177248913853,100.0,VSolve,Empty,1,Chc,VariantSize,10,RightGen
vsat/VSolve/Empty/Chc/1/VariantSize/100/numPlain/1/RightGen,0.0695679949916639,0.06764414884286464,0.07731138711938508,0.005166555031760322,0.001600227186513586,0.008348834962890855,1.0,VSolve,Empty,1,Chc,VariantSize,100,RightGen
vsat/VSolve/Empty/Chc/1/VariantSize/100/numPlain/10/RightGen,0.06998113619637457,0.06866446617971661,0.07142187939691401,0.0024155027563470743,0.0016791704280679411,0.0033189885928806852,10.0,VSolve,Empty,1,Chc,VariantSize,100,RightGen
vsat/VSolve/Empty/Chc/1/VariantSize/100/numPlain/100/RightGen,0.09289885509058803,0.09086818220764531,0.09616587028590907,0.003989905464157066,0.0020810577850449014,0.0058417241859698155,100.0,VSolve,Empty,1,Chc,VariantSize,100,RightGen
vsat/VSolve/Empty/Chc/2/VariantSize/1/numPlain/1/RightGen,0.018084328949444204,0.017818401670504986,0.01847103560492393,0.0007609052400181374,0.0005599456682277308,0.0011087626798570844,1.0,VSolve,Empty,2,Chc,VariantSize,1,RightGen
vsat/VSolve/Empty/Chc/2/VariantSize/1/numPlain/10/RightGen,0.021961948937860108,0.0215483091367693,0.022207475490600214,0.0007105450713822081,0.0003180618767414778,0.0010807412027267513,10.0,VSolve,Empty,2,Chc,VariantSize,1,RightGen
vsat/VSolve/Empty/Chc/2/VariantSize/1/numPlain/100/RightGen,0.05904289935814926,0.058214729239898566,0.059598569161102614,0.001332637976353828,0.000632484418718763,0.0018703680543343483,100.0,VSolve,Empty,2,Chc,VariantSize,1,RightGen
vsat/VSolve/Empty/Chc/2/VariantSize/10/numPlain/1/RightGen,0.03350078665639991,0.03284343296866671,0.03519169230578806,0.0020659070606205273,0.0008024869522574294,0.0037481925226691194,1.0,VSolve,Empty,2,Chc,VariantSize,10,RightGen
vsat/VSolve/Empty/Chc/2/VariantSize/10/numPlain/10/RightGen,0.03683996681627163,0.036348668511489296,0.037703782436579576,0.001503350118418422,0.0008429881068831633,0.0024565745675018923,10.0,VSolve,Empty,2,Chc,VariantSize,10,RightGen
