Name,Time,DataSet,Algorithm,Config,ChcCount,PlainCount,CompressionRatio,VCoreSize,VCorePlain,VCoreVar,Variants
Boolector/v-->p/V1*V2*V3*V4/Chc/4212/numPlain/26808/Compression/0.12398757051810842/VCore_Total/6137/VCorePlain/1946/VCoreVar/4191/Variants/16,2046.833512675,Boolector,v-->p,V1*V2*V3*V4,4212,26808.0,0.12398757051810842,6137,1946,4191,16
Z3/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,40.962053493666666,Z3,v-->v,V1,0,479622.0,0.0,1,1,0,1
Z3/v-->v/V1*V2/Chc/3250/numPlain/27749/Compression/0.4893513832228362/VCore_Total/5633/VCorePlain/2383/VCoreVar/3250/Variants/4,170.03524911733334,Z3,v-->v,V1*V2,3250,27749.0,0.4893513832228362,5633,2383,3250,4
Z3/v-->v/V1*V2*V3/Chc/4015/numPlain/27005/Compression/0.24787976051561864/VCore_Total/6030/VCorePlain/2036/VCoreVar/3994/Variants/8,352.32950114566665,Z3,v-->v,V1*V2*V3,4015,27005.0,0.24787976051561864,6030,2036,3994,8
Z3/v-->v/V1*V2*V3*V4/Chc/4212/numPlain/26808/Compression/0.12398757051810842/VCore_Total/6137/VCorePlain/1946/VCoreVar/4191/Variants/16,861.9884189200001,Z3,v-->v,V1*V2*V3*V4,4212,26808.0,0.12398757051810842,6137,1946,4191,16
Z3/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,117.930230436,Z3,p-->v,V1,0,479622.0,0.0,1,1,0,1
Z3/p-->v/V1*V2/Chc/3250/numPlain/27749/Compression/0.4893513832228362/VCore_Total/5633/VCorePlain/2383/VCoreVar/3250/Variants/4,552.5589258013333,Z3,p-->v,V1*V2,3250,27749.0,0.4893513832228362,5633,2383,3250,4
Z3/p-->v/V1*V2*V3/Chc/4015/numPlain/27005/Compression/0.24787976051561864/VCore_Total/6030/VCorePlain/2036/VCoreVar/3994/Variants/8,1107.0507360909999,Z3,p-->v,V1*V2*V3,4015,27005.0,0.24787976051561864,6030,2036,3994,8
Z3/p-->v/V1*V2*V3*V4/Chc/4212/numPlain/26808/Compression/0.12398757051810842/VCore_Total/6137/VCorePlain/1946/VCoreVar/4191/Variants/16,2198.3500257133333,Z3,p-->v,V1*V2*V3*V4,4212,26808.0,0.12398757051810842,6137,1946,4191,16
Z3/p-->p/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,123.51262910733334,Z3,p-->p,V1,0,479622.0,0.0,1,1,0,1
Z3/p-->p/V1*V2/Chc/3250/numPlain/27749/Compression/0.4893513832228362/VCore_Total/5633/VCorePlain/2383/VCoreVar/3250/Variants/4,596.846348575,Z3,p-->p,V1*V2,3250,27749.0,0.4893513832228362,5633,2383,3250,4
Z3/p-->p/V1*V2*V3/Chc/4015/numPlain/27005/Compression/0.24787976051561864/VCore_Total/6030/VCorePlain/2036/VCoreVar/3994/Variants/8,1209.0368281136666,Z3,p-->p,V1*V2*V3,4015,27005.0,0.24787976051561864,6030,2036,3994,8
Z3/p-->p/V1*V2*V3*V4/Chc/4212/numPlain/26808/Compression/0.12398757051810842/VCore_Total/6137/VCorePlain/1946/VCoreVar/4191/Variants/16,2463.291082551333,Z3,p-->p,V1*V2*V3*V4,4212,26808.0,0.12398757051810842,6137,1946,4191,16
Z3/v-->p/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,113.83703634300001,Z3,v-->p,V1,0,479622.0,0.0,1,1,0,1
Z3/v-->p/V1*V2/Chc/3250/numPlain/27749/Compression/0.4893513832228362/VCore_Total/5633/VCorePlain/2383/VCoreVar/3250/Variants/4,554.0059688243333,Z3,v-->p,V1*V2,3250,27749.0,0.4893513832228362,5633,2383,3250,4
Z3/v-->p/V1*V2*V3/Chc/4015/numPlain/27005/Compression/0.24787976051561864/VCore_Total/6030/VCorePlain/2036/VCoreVar/3994/Variants/8,1226.4286361996667,Z3,v-->p,V1*V2*V3,4015,27005.0,0.24787976051561864,6030,2036,3994,8
Z3/v-->p/V1*V2*V3*V4/Chc/4212/numPlain/26808/Compression/0.12398757051810842/VCore_Total/6137/VCorePlain/1946/VCoreVar/4191/Variants/16,2258.2650412603334,Z3,v-->p,V1*V2*V3*V4,4212,26808.0,0.12398757051810842,6137,1946,4191,16
Yices/v-->v/V1/Chc/1147/numPlain/29852/Compression/0.9480416006067428/VCore_Total/4964/VCorePlain/3817/VCoreVar/1147/Variants/2,22.84472794866667,Yices,v-->v,V1,1147,29852.0,0.9480416006067428,4964,3817,1147,2
Yices/p-->v/V1/Chc/1147/numPlain/29852/Compression/0.9480416006067428/VCore_Total/4964/VCorePlain/3817/VCoreVar/1147/Variants/2,23.247744541666666,Yices,p-->v,V1,1147,29852.0,0.9480416006067428,4964,3817,1147,2
Yices/p-->p/V1/Chc/1147/numPlain/29852/Compression/0.9480416006067428/VCore_Total/4964/VCorePlain/3817/VCoreVar/1147/Variants/2,24.830595541666668,Yices,p-->p,V1,1147,29852.0,0.9480416006067428,4964,3817,1147,2
Yices/v-->p/V1/Chc/1147/numPlain/29852/Compression/0.9480416006067428/VCore_Total/4964/VCorePlain/3817/VCoreVar/1147/Variants/2,22.116663407,Yices,v-->p,V1,1147,29852.0,0.9480416006067428,4964,3817,1147,2
CVC4/v-->v/V1/Chc/1147/numPlain/29852/Compression/0.9480416006067428/VCore_Total/4964/VCorePlain/3817/VCoreVar/1147/Variants/2,51.16834721233334,CVC4,v-->v,V1,1147,29852.0,0.9480416006067428,4964,3817,1147,2
CVC4/p-->v/V1/Chc/1147/numPlain/29852/Compression/0.9480416006067428/VCore_Total/4964/VCorePlain/3817/VCoreVar/1147/Variants/2,51.90987600766667,CVC4,p-->v,V1,1147,29852.0,0.9480416006067428,4964,3817,1147,2
CVC4/p-->p/V1/Chc/1147/numPlain/29852/Compression/0.9480416006067428/VCore_Total/4964/VCorePlain/3817/VCoreVar/1147/Variants/2,53.425492332333334,CVC4,p-->p,V1,1147,29852.0,0.9480416006067428,4964,3817,1147,2
CVC4/v-->p/V1/Chc/1147/numPlain/29852/Compression/0.9480416006067428/VCore_Total/4964/VCorePlain/3817/VCoreVar/1147/Variants/2,54.763671966333334,CVC4,v-->p,V1,1147,29852.0,0.9480416006067428,4964,3817,1147,2
Boolector/v-->v/V1/Chc/1147/numPlain/29852/Compression/0.9480416006067428/VCore_Total/4964/VCorePlain/3817/VCoreVar/1147/Variants/2,27.925951353666665,Boolector,v-->v,V1,1147,29852.0,0.9480416006067428,4964,3817,1147,2
Boolector/p-->v/V1/Chc/1147/numPlain/29852/Compression/0.9480416006067428/VCore_Total/4964/VCorePlain/3817/VCoreVar/1147/Variants/2,33.91561657366667,Boolector,p-->v,V1,1147,29852.0,0.9480416006067428,4964,3817,1147,2
Boolector/p-->p/V1/Chc/1147/numPlain/29852/Compression/0.9480416006067428/VCore_Total/4964/VCorePlain/3817/VCoreVar/1147/Variants/2,35.133382554,Boolector,p-->p,V1,1147,29852.0,0.9480416006067428,4964,3817,1147,2
Boolector/v-->p/V1/Chc/1147/numPlain/29852/Compression/0.9480416006067428/VCore_Total/4964/VCorePlain/3817/VCoreVar/1147/Variants/2,28.625200043666666,Boolector,v-->p,V1,1147,29852.0,0.9480416006067428,4964,3817,1147,2
Z3/v-->v/V1/Chc/1147/numPlain/29852/Compression/0.9480416006067428/VCore_Total/4964/VCorePlain/3817/VCoreVar/1147/Variants/2,40.773886274666665,Z3,v-->v,V1,1147,29852.0,0.9480416006067428,4964,3817,1147,2
Z3/p-->v/V1/Chc/1147/numPlain/29852/Compression/0.9480416006067428/VCore_Total/4964/VCorePlain/3817/VCoreVar/1147/Variants/2,50.257757768000005,Z3,p-->v,V1,1147,29852.0,0.9480416006067428,4964,3817,1147,2
Z3/p-->p/V1/Chc/1147/numPlain/29852/Compression/0.9480416006067428/VCore_Total/4964/VCorePlain/3817/VCoreVar/1147/Variants/2,51.125944616999995,Z3,p-->p,V1,1147,29852.0,0.9480416006067428,4964,3817,1147,2
Z3/v-->p/V1/Chc/1147/numPlain/29852/Compression/0.9480416006067428/VCore_Total/4964/VCorePlain/3817/VCoreVar/1147/Variants/2,39.00818603066667,Z3,v-->p,V1,1147,29852.0,0.9480416006067428,4964,3817,1147,2
