Name,Time,DataSet,Algorithm,Config,ChcCount,PlainCount,CompressionRatio,VCoreSize,VCorePlain,VCoreVar,Variants
Z3/p-->p/V4*V5/Chc/759/numPlain/3773/Compression/0.4302100275793791/VCore_Total/2380/VCorePlain/1697/VCoreVar/683/Variants/4,0.48404348733333336,Z3,p-->p,V4*V5,759,3773.0,0.4302100275793791,2380,1697,683,4
Z3/p-->p/V5*V6/Chc/1349/numPlain/3224/Compression/0.4665144596651446/VCore_Total/2812/VCorePlain/1580/VCoreVar/1232/Variants/4,0.6611545995333333,Z3,p-->p,V5*V6,1349,3224.0,0.4665144596651446,2812,1580,1232,4
Z3/p-->p/V6*V7/Chc/1089/numPlain/3603/Compression/0.44600223651104276/VCore_Total/2925/VCorePlain/2072/VCoreVar/853/Variants/4,0.5239480588,Z3,p-->p,V6*V7,1089,3603.0,0.44600223651104276,2925,2072,853,4
Z3/p-->p/V7*V8/Chc/806/numPlain/3734/Compression/0.40540540540540543/VCore_Total/3182/VCorePlain/2460/VCoreVar/722/Variants/4,0.3979064795333333,Z3,p-->p,V7*V8,806,3734.0,0.40540540540540543,3182,2460,722,4
Z3/p-->p/V8*V9/Chc/504/numPlain/4027/Compression/0.39012297859978695/VCore_Total/3207/VCorePlain/2778/VCoreVar/429/Variants/4,0.3679125531333333,Z3,p-->p,V8*V9,504,4027.0,0.39012297859978695,3207,2778,429,4
Z3/p-->p/V9*V10/Chc/176/numPlain/4302/Compression/0.33403545359749737/VCore_Total/3156/VCorePlain/3002/VCoreVar/154/Variants/4,0.31481904306666664,Z3,p-->p,V9*V10,176,4302.0,0.33403545359749737,3156,3002,154,4
Z3/v-->p/V1*V2/Chc/1322/numPlain/3143/Compression/0.43001393608958216/VCore_Total/2309/VCorePlain/996/VCoreVar/1313/Variants/4,0.5752117035333334,Z3,v-->p,V1*V2,1322,3143.0,0.43001393608958216,2309,996,1313,4
Z3/v-->p/V2*V3/Chc/842/numPlain/3639/Compression/0.4203214779256673/VCore_Total/2324/VCorePlain/1507/VCoreVar/817/Variants/4,0.46594717706666666,Z3,v-->p,V2*V3,842,3639.0,0.4203214779256673,2324,1507,817,4
Z3/v-->p/V3*V4/Chc/156/numPlain/4305/Compression/0.3509300942835301/VCore_Total/2312/VCorePlain/2161/VCoreVar/151/Variants/4,0.2939622564666667,Z3,v-->p,V3*V4,156,4305.0,0.3509300942835301,2312,2161,151,4
Z3/v-->p/V4*V5/Chc/759/numPlain/3773/Compression/0.4302100275793791/VCore_Total/2380/VCorePlain/1697/VCoreVar/683/Variants/4,0.4917957564,Z3,v-->p,V4*V5,759,3773.0,0.4302100275793791,2380,1697,683,4
Z3/v-->p/V5*V6/Chc/1349/numPlain/3224/Compression/0.4665144596651446/VCore_Total/2812/VCorePlain/1580/VCoreVar/1232/Variants/4,0.647785736,Z3,v-->p,V5*V6,1349,3224.0,0.4665144596651446,2812,1580,1232,4
Z3/v-->p/V6*V7/Chc/1089/numPlain/3603/Compression/0.44600223651104276/VCore_Total/2925/VCorePlain/2072/VCoreVar/853/Variants/4,0.5182831862,Z3,v-->p,V6*V7,1089,3603.0,0.44600223651104276,2925,2072,853,4
Z3/v-->p/V7*V8/Chc/806/numPlain/3734/Compression/0.40540540540540543/VCore_Total/3182/VCorePlain/2460/VCoreVar/722/Variants/4,0.406532973,Z3,v-->p,V7*V8,806,3734.0,0.40540540540540543,3182,2460,722,4
Z3/v-->p/V8*V9/Chc/504/numPlain/4027/Compression/0.39012297859978695/VCore_Total/3207/VCorePlain/2778/VCoreVar/429/Variants/4,0.36195471733333334,Z3,v-->p,V8*V9,504,4027.0,0.39012297859978695,3207,2778,429,4
Z3/v-->p/V9*V10/Chc/176/numPlain/4302/Compression/0.33403545359749737/VCore_Total/3156/VCorePlain/3002/VCoreVar/154/Variants/4,0.2950920884666666,Z3,v-->p,V9*V10,176,4302.0,0.33403545359749737,3156,3002,154,4
