name,iters,time,cycles,cpuTime,utime,stime,maxrss,minflt,majflt,nvcsw,nivcsw,allocated,numGcs,bytesCopied,mutatorWallSeconds,mutatorCpuSeconds,gcWallSeconds,gcCpuSeconds,DataSet,Algorithm,Config,ChcCount,PlainCount,CompressionRatio,VCoreSize,VCorePlain,VCoreVar,Variants
Z3/v-->v/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,8,138.924224761,332610712392,101.536088449,79.534081,22.002067,4606660,825471,0,2131775,31473,,,,,,,,Z3,v-->v,V4,0,70791,0,1,1,0,1
Z3/v-->v/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,9,144.8846119,346880960692,106.706619271,82.09364,24.613029,4606660,892392,0,2441590,11953,,,,,,,,Z3,v-->v,V4,0,70791,0,1,1,0,1
Z3/v-->v/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,10,175.184699944,419425042096,126.42273158,98.433055,27.989727,4606660,1362761,0,2680684,31771,,,,,,,,Z3,v-->v,V4,0,70791,0,1,1,0,1
Z3/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,93.894689811,224801515546,39.150364237,28.000953,11.149477,4606660,382291,0,1067523,20652,,,,,,,,Z3,p-->v,V1,0,479622,0,1,1,0,1
Z3/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,187.774515359,449567495654,80.658613842,57.747367,22.911318,4606660,824156,0,2135908,42187,,,,,,,,Z3,p-->v,V1,0,479622,0,1,1,0,1
Z3/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,267.246798266,639839120496,119.760710295,86.463205,33.297558,4606660,950594,0,3233854,48360,,,,,,,,Z3,p-->v,V1,0,479622,0,1,1,0,1
Z3/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,4,285.720061582,684067643840,136.380891196,93.95341,42.427553,4606660,2172238,0,4435801,98,,,,,,,,Z3,p-->v,V1,0,479622,0,1,1,0,1
Z3/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,5,355.047236383,850049920104,170.013206313,116.542328,53.470927,4606660,3021718,0,5549932,113,,,,,,,,Z3,p-->v,V1,0,479622,0,1,1,0,1
Z3/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,6,434.95930746,1041375331918,207.689402784,141.625529,66.063933,4606660,4086863,0,6644931,181,,,,,,,,Z3,p-->v,V1,0,479622,0,1,1,0,1
Z3/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,7,512.169994022,1226232189098,249.706155985,168.515184,81.191032,4606660,8317705,0,7766502,209,,,,,,,,Z3,p-->v,V1,0,479622,0,1,1,0,1
Z3/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,8,598.093900317,1431950700946,283.106378598,192.041976,91.064448,4606660,6752801,0,8863868,156,,,,,,,,Z3,p-->v,V1,0,479622,0,1,1,0,1
Z3/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,9,673.743618383,1613070129578,315.49786121,215.213673,100.28423,4606660,6229811,0,9968780,217,,,,,,,,Z3,p-->v,V1,0,479622,0,1,1,0,1
Z3/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,10,745.755473397,1785479897250,355.204890594,240.283924,114.92102,4606660,12037289,0,11083419,306,,,,,,,,Z3,p-->v,V1,0,479622,0,1,1,0,1
Z3/p-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,100.481876143,240572892340,48.195568122,32.322834,15.87278,4606660,936534,0,1528855,21,,,,,,,,Z3,p-->v,V2,0,687613,0,1,1,0,1
Z3/p-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,193.731868654,463831290550,92.205986975,62.268416,29.937617,4606660,1997368,0,3056382,68,,,,,,,,Z3,p-->v,V2,0,687613,0,1,1,0,1
