Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB,DataSet,Algorithm,Config,ChcCount,PlainCount,CompressionRatio,VCoreSize,VCorePlain,VCoreVar,Variants
Z3/p-->p/V1*V2*V3*V4*V5*V6*V7*V8*V9*V10/Chc/3809/numPlain/1442/Compression/2.2626622142124073e-3/VCore_Total/3250/VCorePlain/235/VCoreVar/3015/Variants/1024,1159.982915463673,1147.439657317038,1177.6556005714422,18.45858077304392,5.750767130108244,24.460416263805726,Z3,p-->p,V1*V2*V3*V4*V5*V6*V7*V8*V9*V10,3809,1442,0.0022626622142124073,3250,235,3015,1024
Z3/v-->p/V1*V2/Chc/1322/numPlain/3144/Compression/0.42998753269611556/VCore_Total/2309/VCorePlain/996/VCoreVar/1313/Variants/4,3.398348905854315,3.257108251156751,3.5112889054095526,0.16443417554133988,0.11423435178155751,0.19189354434253908,Z3,v-->p,V1*V2,1322,3144,0.42998753269611556,2309,996,1313,4
Z3/v-->p/V1*V2*V3/Chc/1400/numPlain/3082/Compression/0.22433884832022202/VCore_Total/2326/VCorePlain/951/VCoreVar/1375/Variants/8,7.1658855376202455,6.778134059830336,7.401130413073891,0.3839814604246755,0.16250470995090768,0.5147036215990576,Z3,v-->p,V1*V2*V3,1400,3082,0.22433884832022202,2326,951,1375,8
Z3/v-->p/V1*V2*V3*V4/Chc/1478/numPlain/3012/Compression/0.11777807624292078/VCore_Total/2374/VCorePlain/929/VCoreVar/1445/Variants/16,16.134174564950325,15.715815100411419,16.385417215293273,0.40062298854283834,0.16455614877243896,0.5154599483693085,Z3,v-->p,V1*V2*V3*V4,1478,3012,0.11777807624292078,2374,929,1445,16
Z3/v-->p/V1*V2*V3*V4*V5/Chc/2159/numPlain/2696/Compression/6.495161759392268e-2/VCore_Total/2382/VCorePlain/621/VCoreVar/1761/Variants/32,41.242896512626125,39.613997597654816,42.329758287698496,1.5876631211349648,0.6337991679902188,2.0905935539350957,Z3,v-->p,V1*V2*V3*V4*V5,2159,2696,0.06495161759392268,2382,621,1761,32
Z3/v-->p/V1*V2*V3*V4*V5*V6/Chc/2827/numPlain/2153/Compression/3.381157834308062e-2/VCore_Total/2814/VCorePlain/510/VCoreVar/2304/Variants/64,97.55744714880711,96.50381736078998,99.48440045898315,1.8896451580606848,0.03978470210079532,2.3934690648508057,Z3,v-->p,V1*V2*V3*V4*V5*V6,2827,2153,0.03381157834308062,2814,510,2304,64
Z3/v-->p/V1*V2*V3*V4*V5*V6*V7/Chc/3248/numPlain/1882/Compression/1.7401325032037885e-2/VCore_Total/2929/VCorePlain/354/VCoreVar/2575/Variants/128,203.10272251345063,200.70120208221488,204.87492772715632,2.645829579548614,1.317398662213236,3.7200024810133576,Z3,v-->p,V1*V2*V3*V4*V5*V6*V7,3248,1882,0.017401325032037885,2929,354,2575,128
Z3/v-->p/V1*V2*V3*V4*V5*V6*V7*V8/Chc/3633/numPlain/1563/Compression/8.930997845575573e-3/VCore_Total/3186/VCorePlain/292/VCoreVar/2894/Variants/256,402.28304117186536,355.8764868702274,419.15799298839795,31.23114934677186,2.202854737772963,38.97103189534825,Z3,v-->p,V1*V2*V3*V4*V5*V6*V7*V8,3633,1563,0.008930997845575573,3186,292,2894,256
Z3/v-->p/V1*V2*V3*V4*V5*V6*V7*V8*V9/Chc/3752/numPlain/1499/Compression/4.533705884956312e-3/VCore_Total/3213/VCorePlain/255/VCoreVar/2958/Variants/512,588.7731856894001,566.2029409209306,611.3434304578695,27.390870301704844,15.534583285295696,34.18595588797819,Z3,v-->p,V1*V2*V3*V4*V5*V6*V7*V8*V9,3752,1499,0.004533705884956312,3213,255,2958,512
Z3/v-->p/V1*V2*V3*V4*V5*V6*V7*V8*V9*V10/Chc/3809/numPlain/1442/Compression/2.2626622142124073e-3/VCore_Total/3250/VCorePlain/235/VCoreVar/3015/Variants/1024,1125.4613169394627,1082.4980151665707,1158.7158829334076,41.568279931823106,22.292796885537207,49.674031675872264,Z3,v-->p,V1*V2*V3*V4*V5*V6*V7*V8*V9*V10,3809,1442,0.0022626622142124073,3250,235,3015,1024
