Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB,DataSet,Algorithm,Config,ChcCount,PlainCount,CompressionRatio,VCoreSize,VCorePlain,VCoreVar,Variants,Core
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7*V8/Chc/3633/numPlain/1562/Compression/8.931392725462844e-3/VCore_Total/3186/VCorePlain/292/VCoreVar/2894/Variants/256/Core/11,38.41660285299895,38.32899546549743,38.48811928900159,0.08825498936328507,0.059450575463274286,0.1038374464632596,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7*V8,3633,1562,0.008931392725462844,3186,292,2894,256,11
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7*V8*V9/Chc/3752/numPlain/1498/Compression/4.533901687595635e-3/VCore_Total/3213/VCorePlain/255/VCoreVar/2958/Variants/512/Core/11,78.41234438572762,78.32462547137402,78.47809082793628,0.08738582105991438,0.0319948177493643,0.10818848640514533,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7*V8*V9,3752,1498,0.004533901687595635,3213,255,2958,512,11
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7*V8*V9*V10/Chc/3809/numPlain/1441/Compression/2.2627576375406533e-3/VCore_Total/3250/VCorePlain/235/VCoreVar/3015/Variants/1024/Core/11,159.31973746054396,159.2540995622494,159.38991626238294,0.08505070533734536,0.03598508708394377,0.11003223356820327,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7*V8*V9*V10,3809,1441,0.0022627576375406533,3250,235,3015,1024,11
Z3/v-->v/V1*V2/Chc/1322/numPlain/3143/Compression/0.43001393608958216/VCore_Total/2309/VCorePlain/996/VCoreVar/1313/Variants/4/Core/12,0.07393057039026947,0.0161259727801856,0.1475109977761167,0.08169831008482115,0.04751109373530563,0.10174257651120941,Z3,v-->v,V1*V2,1322,3143,0.43001393608958216,2309,996,1313,4,12
Z3/v-->v/V1*V2*V3/Chc/1400/numPlain/3081/Compression/0.22435286784508815/VCore_Total/2326/VCorePlain/951/VCoreVar/1375/Variants/8/Core/12,0.6680851374615789,0.6367488408777717,0.7271321865064237,0.05839456851562987,0.0024170294151796834,0.06957713190528164,Z3,v-->v,V1*V2*V3,1400,3081,0.22435286784508815,2326,951,1375,8,12
Z3/v-->v/V1*V2*V3*V4/Chc/1478/numPlain/3011/Compression/0.11778550160073432/VCore_Total/2374/VCorePlain/929/VCoreVar/1445/Variants/16/Core/12,1.1788212106433396,1.131221548495887,1.2148382062902479,0.04599052369632754,0.023165333001088584,0.058687680990151425,Z3,v-->v,V1*V2*V3*V4,1478,3011,0.11778550160073432,2374,929,1445,16,12
Z3/v-->v/V1*V2*V3*V4*V5/Chc/2159/numPlain/2695/Compression/6.495518204814074e-2/VCore_Total/2382/VCorePlain/621/VCoreVar/1761/Variants/32/Core/12,3.250482691935455,3.221762805304934,3.270952009251535,0.031191089432521007,0.016501138628882472,0.04394947461875027,Z3,v-->v,V1*V2*V3*V4*V5,2159,2695,0.06495518204814074,2382,621,1761,32,12
Z3/v-->v/V1*V2*V3*V4*V5*V6/Chc/2827/numPlain/2152/Compression/3.38131445426035e-2/VCore_Total/2814/VCorePlain/510/VCoreVar/2304/Variants/64/Core/12,8.085723167124343,8.045265861873304,8.118848351499764,0.04132817002418107,0.01961992024916981,0.05384420398974838,Z3,v-->v,V1*V2*V3*V4*V5*V6,2827,2152,0.0338131445426035,2814,510,2304,64,12
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7/Chc/3248/numPlain/1881/Compression/1.7402113646176727e-2/VCore_Total/2929/VCorePlain/354/VCoreVar/2575/Variants/128/Core/12,17.14945227564446,17.072260462124177,17.188643794374002,0.07427691369365026,0.03662451824857271,0.08959193093816342,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7,3248,1881,0.017402113646176727,2929,354,2575,128,12
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7*V8/Chc/3633/numPlain/1562/Compression/8.931392725462844e-3/VCore_Total/3186/VCorePlain/292/VCoreVar/2894/Variants/256/Core/12,35.41529426558312,35.36941648100037,35.43418187441664,0.0332679708929275,0.011654274177895371,0.04361906417751201,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7*V8,3633,1562,0.008931392725462844,3186,292,2894,256,12
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7*V8*V9/Chc/3752/numPlain/1498/Compression/4.533901687595635e-3/VCore_Total/3213/VCorePlain/255/VCoreVar/2958/Variants/512/Core/12,72.36004167272615,72.20805641533175,72.58346177855583,0.21214866596432624,0.075693041266579,0.27530187581146004,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7*V8*V9,3752,1498,0.004533901687595635,3213,255,2958,512,12
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7*V8*V9*V10/Chc/3809/numPlain/1441/Compression/2.2627576375406533e-3/VCore_Total/3250/VCorePlain/235/VCoreVar/3015/Variants/1024/Core/12,146.27009655891592,146.17283410483168,146.36735901300017,0.11892955810285877,0.03671583399955125,0.15128645545019648,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7*V8*V9*V10,3809,1441,0.0022627576375406533,3250,235,3015,1024,12
Z3/v-->v/V1*V2/Chc/1322/numPlain/3143/Compression/0.43001393608958216/VCore_Total/2309/VCorePlain/996/VCoreVar/1313/Variants/4/Core/13,0.09071691114857834,0.03101173992221852,0.15395429745369169,0.08850628015127134,0.04530703402649756,0.10216073305283778,Z3,v-->v,V1*V2,1322,3143,0.43001393608958216,2309,996,1313,4,13
Z3/v-->v/V1*V2*V3/Chc/1400/numPlain/3081/Compression/0.22435286784508815/VCore_Total/2326/VCorePlain/951/VCoreVar/1375/Variants/8/Core/13,0.6363434252913672,0.6337730121249479,0.6380353978323303,0.002743637000311759,0.0015834786144232368,0.0038771123051567014,Z3,v-->v,V1*V2*V3,1400,3081,0.22435286784508815,2326,951,1375,8,13
