name,iters,time,cycles,cpuTime,utime,stime,maxrss,minflt,majflt,nvcsw,nivcsw,allocated,numGcs,bytesCopied,mutatorWallSeconds,mutatorCpuSeconds,gcWallSeconds,gcCpuSeconds,DataSet,Algorithm,Config,ChcCount,PlainCount,CompressionRatio,VCoreSize,VCorePlain,VCoreVar,Variants
Z3/v-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,9,606.755522101,1452687378530,402.726545972,279.558067,123.168529,4585320,6055565,0,13737086,330,,,,,,,,Z3,v-->v,V2,0,687613,0,1,1,0,1
Z3/v-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,10,677.780348228,1622735024362,450.719897432,312.503053,138.216968,4585352,9187847,0,15263067,297,,,,,,,,Z3,v-->v,V2,0,687613,0,1,1,0,1
Z3/v-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,12.217550377,29251169192,8.967110924,6.286627,2.68053,4585352,273071,0,285143,7,,,,,,,,Z3,v-->v,V3,0,77192,0,1,1,0,1
Z3/v-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,23.40664487,56040000438,18.140251856,12.866235,5.274065,4585352,603476,0,572043,18,,,,,,,,Z3,v-->v,V3,0,77192,0,1,1,0,1
Z3/v-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,38.388113562,91908479198,29.834582828,20.38515,9.449481,4585352,2319061,0,857284,34,,,,,,,,Z3,v-->v,V3,0,77192,0,1,1,0,1
Z3/v-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,4,49.992594697,119691767962,38.91780259,26.972295,11.945554,4585352,2560831,0,1144892,32,,,,,,,,Z3,v-->v,V3,0,77192,0,1,1,0,1
Z3/v-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,5,58.926404711,141080989692,45.710042585,32.787229,12.922861,4585352,1725622,0,1428452,29,,,,,,,,Z3,v-->v,V3,0,77192,0,1,1,0,1
Z3/v-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,6,72.5286094,173647273686,55.652711686,40.093671,15.559091,4585352,1475050,0,1717353,31,,,,,,,,Z3,v-->v,V3,0,77192,0,1,1,0,1
Z3/v-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,7,84.273854097,201767606114,65.339625732,46.930287,18.409387,4585352,1737837,0,2002463,36,,,,,,,,Z3,v-->v,V3,0,77192,0,1,1,0,1
Z3/v-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,8,94.1675497,225454968404,72.873705707,52.864477,20.009295,4585352,1536650,0,2289286,54,,,,,,,,Z3,v-->v,V3,0,77192,0,1,1,0,1
Z3/v-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,9,107.600397408,257615817480,83.024025911,59.567186,23.456886,4585352,2500095,0,2578302,69,,,,,,,,Z3,v-->v,V3,0,77192,0,1,1,0,1
Z3/v-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,10,124.021198757,296930301448,95.779273799,67.889178,27.890145,4585352,3416767,0,2866960,111,,,,,,,,Z3,v-->v,V3,0,77192,0,1,1,0,1
Z3/v-->v/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,11.742297862,28113340326,8.326838435,6.08697,2.239919,4585352,107353,0,269599,4,,,,,,,,Z3,v-->v,V4,0,70791,0,1,1,0,1
Z3/v-->v/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,24.648240002,59012601012,18.651613528,12.911361,5.740297,4585352,682649,0,539296,22,,,,,,,,Z3,v-->v,V4,0,70791,0,1,1,0,1
Z3/v-->v/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,34.359942035,82264263524,25.727028475,18.538124,7.188949,4585352,785408,0,811221,20,,,,,,,,Z3,v-->v,V4,0,70791,0,1,1,0,1
Z3/v-->v/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,4,46.969125499,112453055276,35.711956296,25.693983,10.018022,4585352,1060079,0,1078717,13,,,,,,,,Z3,v-->v,V4,0,70791,0,1,1,0,1
Z3/v-->v/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,5,57.940998197,138721848220,43.418663274,31.250166,12.168542,4585352,1104312,0,1352247,36,,,,,,,,Z3,v-->v,V4,0,70791,0,1,1,0,1
Z3/v-->v/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,6,69.669942765,166803370908,52.853723434,38.092843,14.760937,4585352,1543164,0,1621397,44,,,,,,,,Z3,v-->v,V4,0,70791,0,1,1,0,1
Z3/v-->v/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,7,79.518515033,190382485210,59.773343607,42.77542,16.997972,4585352,1745411,0,1892410,59,,,,,,,,Z3,v-->v,V4,0,70791,0,1,1,0,1
Z3/v-->v/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,8,92.983210396,222619550952,70.530717217,50.557482,19.973283,4585352,1928505,0,2161623,33,,,,,,,,Z3,v-->v,V4,0,70791,0,1,1,0,1
Z3/v-->v/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,9,103.88151511,248712236038,78.385551944,56.760573,21.625028,4585352,1634528,0,2437953,43,,,,,,,,Z3,v-->v,V4,0,70791,0,1,1,0,1
Z3/v-->v/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,10,115.731529151,277083338452,87.925141369,63.571658,24.35353,4585352,2535592,0,2705174,106,,,,,,,,Z3,v-->v,V4,0,70791,0,1,1,0,1
Z3/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,68.188463283,163256180468,32.421056706,21.933069,10.488031,4585352,502166,0,1087528,23,,,,,,,,Z3,p-->v,V1,0,479622,0,1,1,0,1
Z3/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,137.530073007,329273131610,65.37263149,44.569997,20.802682,4585352,812558,0,2184912,55,,,,,,,,Z3,p-->v,V1,0,479622,0,1,1,0,1
Z3/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,212.31821095,508329805262,101.250024836,68.082663,33.167419,4585352,1290626,0,3267097,75,,,,,,,,Z3,p-->v,V1,0,479622,0,1,1,0,1
Z3/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,4,280.358841251,671232213536,137.612819269,91.591137,46.021743,4585352,4905657,0,4355376,113,,,,,,,,Z3,p-->v,V1,0,479622,0,1,1,0,1
Z3/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,5,353.004518443,845159790894,172.370053805,115.369816,57.000281,4585352,3975738,0,5446592,134,,,,,,,,Z3,p-->v,V1,0,479622,0,1,1,0,1
Z3/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,6,422.110121565,1010611731838,200.494771716,134.502896,65.991926,4585352,3813542,0,6533968,87,,,,,,,,Z3,p-->v,V1,0,479622,0,1,1,0,1
Z3/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,7,486.04864571,1163692926650,232.862982655,157.061104,75.801921,4585352,4390259,0,7618981,177,,,,,,,,Z3,p-->v,V1,0,479622,0,1,1,0,1
Z3/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,8,565.257935328,1353334952250,275.317663044,184.120342,91.197377,4585352,6602346,0,8712161,198,,,,,,,,Z3,p-->v,V1,0,479622,0,1,1,0,1
Z3/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,9,622.823069019,1491156650870,300.83304163,202.593869,98.239224,4585352,6934818,0,9793827,181,,,,,,,,Z3,p-->v,V1,0,479622,0,1,1,0,1
Z3/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,10,700.711079972,1677635781674,341.702068001,230.793639,110.908476,4585352,5645457,0,10884636,217,,,,,,,,Z3,p-->v,V1,0,479622,0,1,1,0,1
Z3/p-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,1,89.285772529,213767153158,43.845580501,29.340828,14.504797,4585352,907372,0,1503856,17,,,,,,,,Z3,p-->v,V2,0,687613,0,1,1,0,1
Z3/p-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,2,188.746820117,451895665202,95.032236452,62.663044,32.369237,4585352,2013854,0,3010405,102,,,,,,,,Z3,p-->v,V2,0,687613,0,1,1,0,1
Z3/p-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,3,283.412764,678543828640,144.671399458,95.943884,48.727563,4585352,2980854,0,4517123,74,,,,,,,,Z3,p-->v,V2,0,687613,0,1,1,0,1
Z3/p-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,4,367.137820947,878997405624,184.801929646,124.108137,60.693853,4585352,3158854,0,6018137,129,,,,,,,,Z3,p-->v,V2,0,687613,0,1,1,0,1
Z3/p-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,5,452.446107221,1083242340718,226.555522846,154.362618,72.19295,4585352,2858923,0,7521499,112,,,,,,,,Z3,p-->v,V2,0,687613,0,1,1,0,1
Z3/p-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,6,546.092288105,1307448543324,274.029018401,185.550231,88.478838,4585352,2832810,0,9029196,148,,,,,,,,Z3,p-->v,V2,0,687613,0,1,1,0,1
Z3/p-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,7,662.445920946,1586021610506,338.223747539,224.256873,113.966925,4585352,10219848,0,10538923,228,,,,,,,,Z3,p-->v,V2,0,687613,0,1,1,0,1
Z3/p-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,8,726.317294839,1738941834744,365.222735758,246.835879,118.386902,4585352,4202014,0,12040457,188,,,,,,,,Z3,p-->v,V2,0,687613,0,1,1,0,1
