Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB,DataSet,Algorithm,Config,ChcCount,PlainCount,CompressionRatio,VCoreSize,VCorePlain,VCoreVar,Variants
Z3/v-->v/V1*V2/Chc/3250/numPlain/27749/Compression/0.4893513832228362/VCore_Total/5633/VCorePlain/2383/VCoreVar/3250/Variants/4,92.06288715185414,89.58271721785414,93.97945284631245,2.8061527340837955,1.4990276854083013,3.9538737413611416,Z3,v-->v,V1*V2,3250,27749,0.4893513832228362,5633,2383,3250,4
Z3/v-->v/V2*V3/Chc/2868/numPlain/28152/Compression/0.4926710479856943/VCore_Total/6028/VCorePlain/3181/VCoreVar/2847/Variants/4,70.43741053924998,69.09658066925005,71.38936296400004,1.3097102148236954,0.3945652830001336,1.7760593451169164,Z3,v-->v,V2*V3,2868,28152,0.4926710479856943,6028,3181,2847,4
Z3/v-->v/V3*V4/Chc/962/numPlain/30037/Compression/0.4053482441512341/VCore_Total/6135/VCorePlain/5173/VCoreVar/962/Variants/4,14.526110424937391,14.244311458937432,14.797282639999821,0.3156947025836374,0.2595826090001383,0.35104665714338645,Z3,v-->v,V3*V4,962,30037,0.4053482441512341,6135,5173,962,4
Z3/v-->p/V1*V2/Chc/3250/numPlain/27749/Compression/0.4893513832228362/VCore_Total/5633/VCorePlain/2383/VCoreVar/3250/Variants/4,111.34792209037472,110.91735201899981,111.76454017274966,0.48182857960372916,0.4131868585710828,0.5074797371179292,Z3,v-->p,V1*V2,3250,27749,0.4893513832228362,5633,2383,3250,4
Z3/v-->p/V2*V3/Chc/2868/numPlain/28152/Compression/0.4926710479856943/VCore_Total/6028/VCorePlain/3181/VCoreVar/2847/Variants/4,72.92557743520835,72.32692000675024,73.29951467329155,0.6148846076589312,0.2984340954165745,0.8635710602694366,Z3,v-->p,V2*V3,2868,28152,0.4926710479856943,6028,3181,2847,4
Z3/v-->p/V3*V4/Chc/962/numPlain/30037/Compression/0.4053482441512341/VCore_Total/6135/VCorePlain/5173/VCoreVar/962/Variants/4,19.841469903666734,19.48073085133342,20.255588425417045,0.4833736261337386,0.15704249916643676,0.6517540975514923,Z3,v-->p,V3*V4,962,30037,0.4053482441512341,6135,5173,962,4
Z3/p-->v/V1*V2/Chc/3250/numPlain/27749/Compression/0.4893513832228362/VCore_Total/5633/VCorePlain/2383/VCoreVar/3250/Variants/4,115.08857511829167,114.45654761775018,115.76404160499987,0.808295767643132,0.18961430149965963,1.07949191934526,Z3,p-->v,V1*V2,3250,27749,0.4893513832228362,5633,2383,3250,4
Z3/p-->v/V2*V3/Chc/2868/numPlain/28152/Compression/0.4926710479856943/VCore_Total/6028/VCorePlain/3181/VCoreVar/2847/Variants/4,77.35687421310404,75.86218245368684,78.8515265301877,1.7225383658013842,0.565165192458231,2.3011981430242434,Z3,p-->v,V2*V3,2868,28152,0.4926710479856943,6028,3181,2847,4
Z3/p-->v/V3*V4/Chc/962/numPlain/30037/Compression/0.4053482441512341/VCore_Total/6135/VCorePlain/5173/VCoreVar/962/Variants/4,20.337779383666277,20.011284515416566,20.754448906999187,0.4905957513656529,0.21633921092976416,0.6409278674049936,Z3,p-->v,V3*V4,962,30037,0.4053482441512341,6135,5173,962,4
Z3/p-->p/V1*V2/Chc/3250/numPlain/27749/Compression/0.4893513832228362/VCore_Total/5633/VCorePlain/2383/VCoreVar/3250/Variants/4,118.62900472081257,116.34042227087525,119.9743051603125,2.2570258745852207,0.9284217929537839,3.1068382835448167,Z3,p-->p,V1*V2,3250,27749,0.4893513832228362,5633,2383,3250,4
Z3/p-->p/V2*V3/Chc/2868/numPlain/28152/Compression/0.4926710479856943/VCore_Total/6028/VCorePlain/3181/VCoreVar/2847/Variants/4,77.02183780212488,76.40867651174972,77.54241379374957,0.7485966760673618,0.37385246678154394,1.0421828774374842,Z3,p-->p,V2*V3,2868,28152,0.4926710479856943,6028,3181,2847,4
Z3/p-->p/V3*V4/Chc/962/numPlain/30037/Compression/0.4053482441512341/VCore_Total/6135/VCorePlain/5173/VCoreVar/962/Variants/4,20.067505016729154,19.862866600666774,20.23302846312481,0.21665855699933037,0.09033215306570527,0.29255575343689705,Z3,p-->p,V3*V4,962,30037,0.4053482441512341,6135,5173,962,4
