Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Unique/0/Brute Force,6.629227506766332e-3,6.575709411149257e-3,6.649405740757255e-3,3.542989174242774e-4,3.542989174242774e-4,3.542989174242774e-4
Unique/0/And Decomposition,6.636968671393846e-3,6.53110564202744e-3,6.736758201973352e-3,3.3139491644029783e-4,3.3139491644029783e-4,3.3139491644029783e-4
Unique/0/Variational Solve,5.996447317081041e-3,5.982038125141352e-3,6.05040701053554e-3,3.0890737583447105e-4,2.733749809112756e-4,3.2174020138023485e-4
Shared/0/Brute Force,6.802611297298524e-3,6.740610438868866e-3,6.816143689600436e-3,3.7697112505063736e-4,3.65271577067691e-4,4.216797933521142e-4
Shared/0/And Decomposition,6.6659221238888e-3,6.6659221238888e-3,6.6659221238888e-3,3.136032416360238e-4,2.4300444177924958e-4,3.744805904454216e-4
Shared/0/Variational Solve,5.984641026262145e-3,5.94713309465021e-3,5.999934075610562e-3,3.446755829896682e-4,2.2145321933583648e-4,4.130026292609355e-4
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Unique/0/Brute Force,6.37921962365405e-3,6.246613165913997e-3,6.533173720335116e-3,4.718366439177135e-4,4.608937151245875e-4,4.980556049460958e-4
Unique/0/And Decomposition,6.64569522664543e-3,6.64569522664543e-3,6.64569522664543e-3,4.1564752307101895e-4,3.049488139522555e-4,4.3378734316929754e-4
Unique/0/Variational Solve,6.091423787821689e-3,6.091423787821689e-3,6.091423787821689e-3,3.317300957052324e-4,3.317300957052324e-4,3.317300957052324e-4
Shared/0/Brute Force,6.814596582978822e-3,6.787190365354566e-3,6.869606720844532e-3,2.4704417158446504e-4,2.3988550772681202e-4,2.495374448959111e-4
Shared/0/And Decomposition,6.684491946208463e-3,6.684491946208463e-3,6.684491946208463e-3,2.3763292133236976e-4,1.9923410549052797e-4,2.6243235993584816e-4
Shared/0/Variational Solve,6.051978825740539e-3,6.039826047592966e-3,6.153018123925563e-3,4.070991653130548e-4,4.070991653130548e-4,4.070991653130548e-4
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Unique/0/Brute Force,6.926813142057569e-3,6.903159856750917e-3,7.011710625734306e-3,3.668975323159345e-4,2.6344959662564355e-4,3.954994843657718e-4
Unique/0/And Decomposition,6.729505326193984e-3,6.7217028137274235e-3,6.771856848064593e-3,3.684822823639706e-4,3.1422062616739884e-4,4.2945584510837534e-4
Unique/0/Variational Solve,6.004922801364289e-3,6.004922801364289e-3,6.004922801364289e-3,4.035300724004609e-4,3.7000267965214703e-4,4.4708021548929425e-4
Shared/0/Brute Force,6.754379812089645e-3,6.640706492246689e-3,6.803792006158358e-3,4.0305015446940755e-4,3.92196395068769e-4,4.893841741403254e-4
Shared/0/And Decomposition,6.619185088525667e-3,6.596635348892102e-3,6.644611143900441e-3,2.4993175205910494e-4,1.9886442751797435e-4,3.007252013885546e-4
Shared/0/Variational Solve,6.015372577097767e-3,5.9268559739586784e-3,6.037639404369489e-3,3.131990580975528e-4,2.6983847857126964e-4,3.830854224913602e-4
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Unique/0/Brute Force,6.836794173254399e-3,6.836794173254399e-3,6.836794173254399e-3,3.588219838205494e-4,2.1078082320388663e-4,3.932345913986392e-4
Unique/0/And Decomposition,6.207817996804786e-3,6.207817996804786e-3,6.207817996804786e-3,5.625359267931504e-4,5.277578663253468e-4,6.076897016610973e-4
