Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Unique/1/0/Brute Force,4.584009416916112e-3,4.572925269435472e-3,4.60797550752092e-3,1.4509461978507186e-4,1.3691830210493182e-4,1.5717017996927667e-4
Unique/1/0/And Decomposition,4.511977613983909e-3,4.501704838616723e-3,4.529359882467594e-3,6.399845448583181e-5,5.767910893956167e-5,8.136313835929536e-5
Unique/1/0/Variational Solve,4.065662898656706e-3,4.059887508188163e-3,4.072751253335626e-3,5.623882812382401e-5,5.331866943843241e-5,6.344117184856239e-5
Shared/1/0/Brute Force,4.522180529754562e-3,4.516589921986989e-3,4.534909525325846e-3,7.167839933512753e-5,6.267661097254334e-5,7.397580424765035e-5
Shared/1/0/And Decomposition,4.5732870060494375e-3,4.557670742231345e-3,4.6121392385722665e-3,1.2774177784471812e-4,1.1347047406759049e-4,1.8064404984337304e-4
Shared/1/0/Variational Solve,4.062513282331356e-3,4.052869259690968e-3,4.077202121730436e-3,6.56206015950773e-5,4.025059162575303e-5,8.90046566204209e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Unique/2/0/Brute Force,4.5626659703971485e-3,4.555335531783017e-3,4.585450789235489e-3,1.1152018255855691e-4,9.532045030766286e-5,1.2043085351933684e-4
Unique/2/0/And Decomposition,4.5050020614174815e-3,4.4879219874914495e-3,4.511216905682974e-3,5.726387357424298e-5,5.103153635545343e-5,6.158758196097017e-5
Unique/2/0/Variational Solve,4.0491166195284764e-3,4.041636304122828e-3,4.063354576510071e-3,5.241314539814256e-5,4.837410092040122e-5,6.022004272174703e-5
Shared/2/0/Brute Force,4.519589119902907e-3,4.509472679631816e-3,4.5323737896360095e-3,5.8337028650813534e-5,5.351151294107945e-5,6.177368930637781e-5
Shared/2/0/And Decomposition,4.503576476188042e-3,4.497989471171412e-3,4.51662158177032e-3,5.712555868943863e-5,5.0009932006341496e-5,6.333679177365908e-5
Shared/2/0/Variational Solve,4.053750005689881e-3,4.0412667399479085e-3,4.057537016434481e-3,5.656818843761533e-5,5.1043323449818984e-5,6.323273089879549e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Unique/3/0/Brute Force,4.524927205037693e-3,4.520466262298788e-3,4.531598705835233e-3,5.0679859703323234e-5,4.881877955916883e-5,5.6976349739077296e-5
Unique/3/0/And Decomposition,4.537496187985083e-3,4.528303707163926e-3,4.558128301824374e-3,8.106893897205883e-5,6.561759946028785e-5,1.0039154326445662e-4
Unique/3/0/Variational Solve,4.052023851240336e-3,4.040182877470136e-3,4.060735059136458e-3,5.06733535226645e-5,4.697525614627613e-5,6.37658801510908e-5
Shared/3/0/Brute Force,4.521276915053986e-3,4.506586706046232e-3,4.526786623554314e-3,6.91908348371525e-5,6.597768867930569e-5,9.748078350116458e-5
Shared/3/0/And Decomposition,4.532074620927154e-3,4.517096215132969e-3,4.559123057235809e-3,7.252579814514557e-5,5.989436893223618e-5,8.252105085182551e-5
Shared/3/0/Variational Solve,4.043660092399746e-3,4.03496790432225e-3,4.054413674459282e-3,5.9318033628288925e-5,4.617643618095038e-5,6.973710994123983e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Unique/4/0/Brute Force,4.518832382923011e-3,4.5163977426911665e-3,4.528911234352203e-3,7.118387809634484e-5,6.823272447482801e-5,7.672431279965688e-5
Unique/4/0/And Decomposition,4.537003165965926e-3,4.525882592399627e-3,4.547050336137011e-3,8.631309874834427e-5,7.313703054583095e-5,9.955457782317988e-5
Unique/4/0/Variational Solve,4.029544758837946e-3,4.0271648442252355e-3,4.037595117000383e-3,6.0190953357700474e-5,5.9293222817252756e-5,6.561174017314365e-5
Shared/4/0/Brute Force,4.523295526693179e-3,4.507610047977303e-3,4.5710513305140575e-3,9.399185180534256e-5,7.101000462853836e-5,1.2998215976420626e-4
Shared/4/0/And Decomposition,4.518651865060115e-3,4.493265095145784e-3,4.5309679814039975e-3,7.013510528071522e-5,6.508166595475342e-5,7.502727365756197e-5
Shared/4/0/Variational Solve,4.055648686007232e-3,4.048418158515431e-3,4.0646683985803116e-3,4.075510072934528e-5,4.075510072934528e-5,4.075510072934528e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Unique/5/0/Brute Force,4.508654862442902e-3,4.496453880871953e-3,4.514028092591855e-3,7.282120714630274e-5,7.10052549517739e-5,8.476628600964104e-5
Unique/5/0/And Decomposition,4.540249274132338e-3,4.528283751524477e-3,4.554422125879902e-3,9.54942425776122e-5,9.54942425776122e-5,9.54942425776122e-5
Unique/5/0/Variational Solve,4.112631759422128e-3,4.066606468377879e-3,4.170879387940698e-3,1.3414871696151463e-4,1.0998490175113867e-4,2.2229425548920582e-4
Shared/5/0/Brute Force,4.517501550021645e-3,4.510702438710311e-3,4.520887907645444e-3,6.213798498065381e-5,6.213798498065381e-5,6.213798498065381e-5
Shared/5/0/And Decomposition,4.5357530844999695e-3,4.511083626502578e-3,4.546299597991581e-3,7.852579989823844e-5,7.52973920871631e-5,9.247883228520365e-5
Shared/5/0/Variational Solve,4.0231550535859174e-3,4.007303729946949e-3,4.028585050211717e-3,5.8883592721631974e-5,5.5635480108935964e-5,5.928439162127189e-5
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Unique/6/1/Brute Force,5.222539111172538e-3,5.213694137845934e-3,5.239445163244752e-3,1.0957801847797887e-4,9.118787405797524e-5,1.245832110994182e-4
